Ref,Val,Package,PosX,PosY,Rot,Side
"C34","2.2u","C_0805_2012Metric",87.960200,-96.012000,270.000000,top
"C35","2.2u","C_0805_2012Metric",85.864700,-99.123500,270.000000,top
"C36","470n","C_0603_1608Metric",102.247700,-102.108000,90.000000,top
"C37","100n","C_0603_1608Metric",94.589600,-106.959400,180.000000,top
"C38","100n","C_0603_1608Metric",100.596700,-95.948500,270.000000,top
"C39","22n","C_0603_1608Metric",100.533200,-100.457000,270.000000,top
"C40","2.2n","C_0603_1608Metric",87.769700,-102.298500,270.000000,top
"C41","100n","C_0603_1608Metric",102.247700,-99.060000,90.000000,top
"C42","220n","C_0603_1608Metric",101.092000,-77.431900,0.000000,top
"C43","220n","C_0603_1608Metric",96.647000,-77.431900,0.000000,top
"C44","220n","C_0603_1608Metric",91.592400,-77.495400,180.000000,top
"C45","220n","C_0603_1608Metric",86.448900,-77.431900,180.000000,top
"C46","470n","C_0603_1608Metric",94.259400,-76.542900,270.000000,top
"C47","470n","C_0603_1608Metric",88.925400,-76.542900,270.000000,top
"C48","2.2n","C_0603_1608Metric",87.769700,-105.346500,90.000000,top
"C49","330u","CP_Elec_8x10.5",103.835200,-88.277700,270.000000,top
"C50","1n","C_0603_1608Metric",96.647000,-75.755500,180.000000,top
"C51","1n","C_0603_1608Metric",101.092000,-75.628500,180.000000,top
"C52","1n","C_0603_1608Metric",86.448900,-75.717400,0.000000,top
"C53","1n","C_0603_1608Metric",91.655900,-75.653900,0.000000,top
"C54","100n","C_0603_1608Metric",112.079499,-99.092599,270.000000,top
"C55","2.2u","C_0805_2012Metric",112.269999,-95.790599,270.000000,top
"C56","2.2u","C_0805_2012Metric",110.174499,-98.902099,270.000000,top
"C57","470n","C_0603_1608Metric",126.557499,-101.886599,90.000000,top
"C58","100n","C_0603_1608Metric",118.873999,-106.248200,180.000000,top
"C59","100n","C_0603_1608Metric",124.906499,-95.727099,270.000000,top
"C60","22n","C_0603_1608Metric",124.842999,-100.235599,270.000000,top
"C61","2.2n","C_0603_1608Metric",112.079499,-102.077099,270.000000,top
"C62","100n","C_0603_1608Metric",126.557499,-98.838599,90.000000,top
"C63","220n","C_0603_1608Metric",125.300199,-77.210499,0.000000,top
"C64","220n","C_0603_1608Metric",120.956799,-77.210499,0.000000,top
"C65","220n","C_0603_1608Metric",115.902199,-77.273999,180.000000,top
"C66","220n","C_0603_1608Metric",110.936499,-77.210499,180.000000,top
"C67","470n","C_0603_1608Metric",118.569199,-76.321499,270.000000,top
"C68","470n","C_0603_1608Metric",113.235199,-76.321499,270.000000,top
"C69","100n","C_0603_1608Metric",87.782400,-88.646000,180.000000,top
"C70","330u","CP_Elec_8x10.5",128.066800,-88.074500,270.000000,top
"C71","1n","C_0603_1608Metric",120.956799,-75.534099,180.000000,top
"C72","1n","C_0603_1608Metric",125.300199,-75.407099,180.000000,top
"C73","1n","C_0603_1608Metric",110.936499,-75.495999,0.000000,top
"C74","1n","C_0603_1608Metric",115.965699,-75.432499,0.000000,top
